"sFIELDID","AvgOfQualRev","AvgOfTaxa","AvgOfEPT"
"Bell1","22.125","8.25","0.8"
"Bell2","29.25","13.25","1"
"Bell3","21","8.25","0.6666667"
"Bish1","26.625","10.125","1"
"Fel1","31.36364","12","1.5"
"Fel2","23.54545","10.36364","1.4"
"Fel4","22.25","9","1.666667"
"Fel5","40","17","3"
"For1","27","12",""
"For2","27","10.5",""
"Fowl1","32.15385","11.76923","2.666667"
"Fowl2","23.25","8","2.666667"
"Frank1","20.625","8.5","1"
"Ing1","33.28571","13.42857","1.2"
"John1","36.92308","14.91667","4.333333"
"John2","38","14.69231","4.166667"
"John3","32.92857","11.69231","3.166667"
"John5","28.66667","10.27273","2"
"John6","24.25","9.75","2"
"Low1","23.5","9.75","1"
"Low2","31.57143","11.85714","1.6"
"LR-1","25.25","10.5","2.5"
"LR-2","33","12.66667","2.666667"
"LR-3","30.33333","10.66667","2.333333"
"LR-4","22.75","8.5","1.5"
"Main1","27","10.71429","1.5"
"Main13","10","6","0"
"Main15","15.5","6.5","1"
"Main3","27","9.5",""
"Main4","30.75","10.5","3.2"
"Main4.5","32.4","12.4","2.5"
"Main5","24.28572","10.42857","2"
"Main6","28.77778","10.88889","2"
"Main7","27.75","11","1"
"Main9","11","6",""
"Mid2","14.5","5.5",""
"Mid3","22.5","9.5","0"
"Mid4","33","12","2"
"Mid5","27","9",""
"Mid7","14","4",""
"Min1","34","13.14286","1.2"
"MR-1","26.6","10.4","1.777778"
"MR-10","18","6.6","2"
"MR-11","18.66667","8","1.666667"
"MR-12","16.33333","6.666667","1.666667"
"MR-13","23.66667","9","2.333333"
"MR-2","27","10.66667","3.166667"
"MR-3","31","12.8","3.6"
"MR-4","26","9","1.666667"
"MR-5","15.6","6.6","1"
"MR-6","17","6.4","2"
"MR-7","20.2","8.2","2.2"
"MR-8","19.2","8.2","2.2"
"MR-9","15.8","6.6","2.2"
"Nott","28.75","11.5","2.333333"
"Nton","13","5.5","0"
"Peb1","35.16667","11.58333","1.75"
"Peb2","26","9","1"
"Rav1","27.5","10.5","1"
"See1","28.4","11","1.2"
"See2","19.2","6.8","1"
"Sprag","28.5","10","2.5"
"Tar1","27.875","11","1.8"
"Tar2","30.77778","12.22222","2.25"
"Ton1","37","13.77778","2.166667"
"Ton1/2","33.33333","11.66667","2.333333"
"Ton2","16.11111","6.5","0.6666667"
"Ton5","4","2",""
"Trues1","25","11","1"
"Up1","20.42857","7.571429","1.2"
"Up2","24.46154","8.692307","1.333333"
"Up4","31","11","2"
"Up5","15.5","6","0"
"Up6","22","8",""
"Up7","7","5",""
"Wall0","27","9.5","1.5"
"Wall1","26","9.5","2"
"Wall2","23.25","9.5","1"
"Wall3","31.5","12","1"
"Wall5","22","9","1"
"Will1","23.5","10.71429","0.8"
