,FIELDID,Common Name
0,Bell1,10
1,Bell4,10
2,Bish2,11
3,CL,6
4,DNRFel,10
5,Evan2,8
6,Evan3,5
7,Evan4,6
8,Evan5,5
9,Evan6,2
10,FLOW2,4
11,Fel1,11
12,Fel3,13
13,Fel4,16
14,Fel5,11
15,Fel6,15
16,Fowl1,14
17,Fowl2,24
18,Fowl3,12
19,Fowl4,16
20,Fowl5,22
21,Fowl6,7
22,Frank1,7
23,Frank2,7
24,Frank3,9
25,Frank4,16
26,Frank5,3
27,Frank6,12
28,Frank7,7
29,Frank8,8
30,GilbL,9
31,HamL,13
32,Ing1,8
33,John1,18
34,John10,12
35,John2,19
36,John3,14
37,John5,11
38,John6,19
39,John7,14
40,John8,9
41,John9,13
42,JohnRHS,13
43,JohnSWD,5
44,LR-1,19
45,LR-10,26
46,LR-11,18
47,LR-11A,33
48,LR-12,27
49,LR-2,27
50,LR-3,8
51,LR-5,20
52,LR-6,19
53,LR-8,13
54,Low10,17
55,Low11,23
56,Low13,6
57,Low14,15
58,Low2,15
59,Low3,10
60,Low4,24
61,Low5,20
62,Low6,23
63,Low7,24
64,Low8,19
65,Low9,23
66,MN-2,14
67,MN-5,16
68,MN-6,5
69,MN-7,6
70,MN-7A,18
71,MR-11,12
72,MR-12,14
73,MR-13,12
74,MR-15,11
75,MR-16,4
76,MR-17,15
77,MR-18,21
78,MR-20,12
79,MR-22,8
80,MR-4,19
81,MR-8,14
82,MR-9,16
83,Main1,17
84,Main10,32
85,Main11,12
86,Main12,32
87,Main12N,27
88,Main13,13
89,Main14,6
90,Main15,10
91,Main16,10
92,Main17,15
93,Main18,13
94,Main19,14
95,Main20,14
96,Main21,4
97,Main3,11
98,Main4.5,9
99,Main5,18
100,Main6,18
101,Main8,16
102,Mid4,5
103,Min2,13
104,Min3,9
105,Min3A,10
106,Min4,11
107,Min5,12
108,Mur2,5
109,Nott,10
110,Nott2,6
111,Peb2,9
112,Peb3,8
113,Peb4,11
114,Peb5,10
115,Rav,8
116,See2,10
117,See3,18
118,See4,6
119,SeeBosch,11
120,SeeSTO,1
121,SimpL,12
122,Sprag,8
123,Tar2,11
124,Ton1,12
125,Ton3,11
126,ULL,19
127,UR-1,17
128,UR-2,8
129,UR-4,5
130,Up1,15
131,Up2,16
132,Up3,13
133,Up4,12
134,Up5,12
135,Wall1,13
136,Wall2,9
137,Wall3,9
138,Wall7,9
139,WalnutL,10
140,Will1,8
141,WingL,11
